Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,3
Raung,Indonesia,IDN,-8.125,114.042,3332,Stratovolcano,3,1597,1500s,15
Raung,Indonesia,IDN,-8.125,114.042,3332,Stratovolcano,3,1730,1700s,100
Rinjani,Indonesia,IDN,-8.42,116.47,3726,Stratovolcano,3,1994,1900s,31
Iya,Indonesia,IDN,-8.897,121.645,637,Stratovolcano,3,1969,1900s,2
Paluweh,Indonesia,IDN,-8.32,121.708,875,Stratovolcano,3,1928,1900s,266
Lewotobi,Indonesia,IDN,-8.542,122.775,1703,Stratovolcano(es),3,1907,1900s,1
Iliwerung,Indonesia,IDN,-8.53,123.57,1018,Complex,3,1870,1800s,3
Banda Api,Indonesia,IDN,-4.525,129.871,640,Caldera,3,1615,1600s,15
Banda Api,Indonesia,IDN,-4.525,129.871,640,Caldera,3,1690,1600s,15
Banda Api,Indonesia,IDN,-4.525,129.871,640,Caldera,3,1988,1900s,2
Banda Api,Indonesia,IDN,-4.525,129.871,640,Caldera,3,1988,1900s,1
Lokon-Empung,Indonesia,IDN,1.358,124.792,1580,Stratovolcano,3,1991,1900s,1
Ruang,Indonesia,IDN,2.3,125.37,725,Stratovolcano,3,1870,1800s,15
Karangetang [Api Siau],Indonesia,IDN,2.78,125.4,1784,Stratovolcano,3,1972,1900s,15
Karangetang [Api Siau],Indonesia,IDN,2.78,125.4,1784,Stratovolcano,3,2010,2000s,4
Awu,Indonesia,IDN,3.67,125.5,1320,Stratovolcano,3,1711,1700s,3000
Awu,Indonesia,IDN,3.67,125.5,1320,Stratovolcano,3,1856,1800s,2806
Awu,Indonesia,IDN,3.67,125.5,1320,Stratovolcano,3,1892,1800s,1250
Dukono,Indonesia,IDN,1.68,127.88,1335,Complex,3,1550,1500s,15
Gamkonora,Indonesia,IDN,1.38,127.53,1635,Stratovolcano,3,1564,1500s,15
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),3,1771,1700s,35
